"src","team","pos","name","gsis_id","order","status","flag","fetched","season","week"
"Sleeper","MIN","QB","Kyler Murray","00-0035228",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","QB","Carson Wentz","00-0032950",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","QB","J.J. McCarthy",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","K","Andy Borregales",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Drake Maye",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Tommy DeVito",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Behren Morton",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","K","Daniel Carlson","00-0034161",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Tyler Shough",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Spencer Rattler",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Zach Wilson",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NYG","K","Dominic Zvada",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NYG","QB","Jameis Winston","00-0031503",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NYG","QB","Jaxson Dart",NA,3,"IR","IR","2026-09-25T21:12:57Z",2026,3
"Sleeper","NYJ","K","Blake Grupe",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NYJ","QB","Geno Smith","00-0030565",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NYJ","QB","Cade Klubnik",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PHI","K","Jake Elliott","00-0033787",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PHI","QB","Jalen Hurts",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PHI","QB","Andy Dalton","00-0027973",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PHI","QB","Tanner McKee",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PHI","QB","Cole Payton",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PIT","K","Chris Boswell","00-0031136",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PIT","QB","Aaron Rodgers","00-0023459",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PIT","QB","Mason Rudolph","00-0034771",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PIT","QB","Will Howard",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","PIT","QB","Drew Allar",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SEA","K","Jason Myers","00-0031492",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SEA","QB","Sam Darnold","00-0034869",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SEA","QB","Drew Lock","00-0035704",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SEA","QB","Jalen Milroe",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SF","K","Eddy Pineiro","00-0034173",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SF","QB","Brock Purdy",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SF","QB","Mac Jones",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","SF","QB","Kurtis Rourke",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TB","K","Chase McLaughlin","00-0035358",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TB","QB","Baker Mayfield","00-0034855",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TB","QB","Jalon Daniels",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TEN","K","Joey Slye","00-0035192",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TEN","QB","Cam Ward",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","TEN","QB","Mitchell Trubisky","00-0033869",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","WAS","K","Drew Stevens",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","WAS","QB","Marcus Mariota","00-0032268",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","WAS","QB","Jayden Daniels",NA,2,"Out","Out","2026-09-25T21:12:57Z",2026,3
"Sleeper","WAS","QB","Athan Kaliakmanis",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
